studID,grade,testScore,GPA
76416,8,21,2.016
48619,8,23,4
82571,8,34,8
75070,8,16,1.536
73536,8,18,8
75269,8,21,4
53152,8,34,4
23897,8,2,0.192
96777,8,33,4
36721,8,22,2.112
44937,8,18,3.456
88021,8,15,1.44
26485,8,35,4
80324,8,23,2.208
49816,8,23,2.208
84727,8,25,8
81444,8,14,1.344
28769,8,19,1.824
78995,8,23,4
64958,8,3,0.288
19321,8,24,2.304
87828,8,18,1.728
21127,8,26,NA
55831,8,33,NA
41358,8,8,1.536
92733,8,18,3.456
57833,8,17,3.264
27245,8,20,8
93530,8,48,NA
42180,8,36,4
42274,8,22,4
10461,8,24,NA
25100,8,36,4
36163,8,17,3.264
86514,8,32,3.072
24746,8,10,NA
39367,8,44,4
45166,8,13,1.248
44322,8,12,2.304
72653,8,39,3.744
89494,8,3,0.288
13986,8,32,3.072
27426,8,17,1.632
54622,8,26,4
11402,8,21,4
26617,8,28,2.688
20668,8,21,8
57522,8,24,4
59828,8,19,3.648
63172,8,19,8
70087,8,13,2.496
25369,8,19,1.824
53180,8,37,3.552
33066,8,26,4
84014,8,25,4
70393,8,35,8
80688,8,30,2.88
12875,8,19,3.648
93173,8,16,1.536
26177,8,14,NA
55745,8,21,2.016
47753,8,14,1.344
19636,8,30,4
95327,8,18,3.456
12176,8,44,4
15752,8,13,1.248
27092,8,12,1.152
45785,8,19,3.648
85910,8,15,2.88
39914,8,24,NA
42822,8,32,8
34901,8,27,2.592
95565,8,9,0.864
77479,8,15,8
57845,8,18,3.456
88782,8,26,2.496
99904,8,27,4
41522,8,20,3.84
76332,8,9,8
40634,8,25,4
62607,8,34,4
21136,8,6,1.152
75318,8,14,2.688
45849,8,22,4
40040,8,34,8
69214,8,28,4
23007,8,17,3.264
86390,8,4,0.768
56369,8,28,8
91409,8,17,1.632
66896,8,29,2.784
33706,8,17,NA
14631,8,36,4
59649,8,8,0.768
60667,8,11,8
21656,8,32,3.072
84513,8,13,1.248
39973,8,17,3.264
74979,8,35,4
19266,8,30,4
23851,8,38,NA
45388,8,16,3.072
47366,8,5,0.48
54412,8,24,2.304
41320,8,21,4
27297,8,23,8
65871,8,23,8
71740,8,7,0.672
31923,8,24,2.304
62765,8,31,4
53338,8,26,4
86353,8,18,1.728
29416,8,15,2.88
89080,8,33,3.168
49844,8,17,1.632
56152,8,10,8
61218,8,23,NA
78589,8,34,3.264
21287,8,29,2.784
86082,8,25,2.4
10363,8,28,NA
89423,8,28,2.688
12309,8,11,1.056
25492,8,31,2.976
89410,8,15,2.88
77236,8,24,NA
38443,8,35,NA
18969,8,14,2.688
82127,8,5,0.96
65106,8,24,8
96036,8,22,2.112
16670,8,14,NA
82575,8,19,NA
26947,8,20,1.92
49108,8,35,8
73412,8,25,4
40655,8,20,1.92
91672,8,22,2.112
16234,8,16,1.536
18930,8,7,1.344
32302,8,16,1.536
56920,8,27,4
71366,8,33,3.168
95715,8,37,3.552
27880,8,19,NA
78008,8,2,0.192
93616,8,15,2.88
47419,8,28,4
35310,8,48,4
55827,8,4,0.384
75677,8,10,0.96
32370,8,16,NA
51496,8,35,3.36
31810,8,22,4
70834,8,21,4
67586,8,4,0.768
96423,8,11,1.056
12328,8,36,3.456
22493,8,26,8
10705,8,18,NA
99017,8,18,8
57272,8,17,1.632
81168,8,50,4
38159,8,20,8
68865,8,33,8
29953,8,13,8
49336,8,18,1.728
12760,8,17,3.264
81199,8,24,4
75322,8,22,2.112
15076,8,11,2.112
73475,8,21,8
48611,8,19,1.824
45872,8,14,1.344
50541,8,25,4
19390,8,32,8
97191,8,14,1.344
31512,8,36,3.456
15753,8,21,4
73822,8,30,4
84562,8,25,8
13142,8,21,4
40155,8,20,3.84
96707,8,15,2.88
53196,8,32,8
21619,8,42,4
58486,8,22,2.112
69878,8,47,4
49159,8,22,8
62078,8,27,4
91207,8,3,NA
91406,8,25,8
81018,8,11,2.112
81229,8,34,3.264
58172,8,19,8
93037,8,35,4
78208,8,30,4
32389,8,33,NA
36695,8,27,4
97281,8,2,0.384
86206,8,13,NA
16828,8,28,NA
31509,8,17,3.264
39857,8,32,4
44019,8,9,0.864
85644,8,26,2.496
87643,8,27,4
93765,8,18,1.728
