studID,hsID,gradStatus
10874,Leonard High School,1
10951,Leonard High School,1
11595,Leonard High School,1
12176,Leonard High School,1
12875,Leonard High School,1
12886,Leonard High School,0
14585,Leonard High School,1
15076,Leonard High School,1
15753,Leonard High School,1
17027,Leonard High School,1
17824,Leonard High School,1
17875,Leonard High School,0
18615,Leonard High School,1
19933,Leonard High School,1
20668,Leonard High School,1
21619,Leonard High School,1
21656,Leonard High School,1
22063,Leonard High School,1
22493,Leonard High School,1
22913,Leonard High School,1
23897,Leonard High School,0
25492,Leonard High School,1
26485,Leonard High School,1
26617,Leonard High School,1
27092,Leonard High School,0
27880,Leonard High School,1
28575,Leonard High School,1
29547,Leonard High School,1
31512,Leonard High School,1
36721,Leonard High School,0
38186,Leonard High School,0
40994,Leonard High School,1
43654,Leonard High School,0
44335,Leonard High School,1
45166,Leonard High School,1
45785,Leonard High School,1
45849,Leonard High School,1
47419,Leonard High School,1
47753,Leonard High School,1
48619,Leonard High School,1
49336,Leonard High School,0
49844,Leonard High School,0
50541,Leonard High School,1
51106,Leonard High School,1
51652,Leonard High School,1
51977,Leonard High School,1
52805,Leonard High School,0
53180,Leonard High School,1
53196,Leonard High School,1
53490,Leonard High School,1
53638,Leonard High School,1
55831,Leonard High School,1
57522,Leonard High School,1
57833,Leonard High School,1
60851,Leonard High School,0
63737,Leonard High School,1
64958,Leonard High School,0
65085,Leonard High School,1
65106,Leonard High School,1
65283,Leonard High School,1
69214,Leonard High School,1
70087,Leonard High School,1
70098,Leonard High School,1
71480,Leonard High School,1
73412,Leonard High School,1
73822,Leonard High School,1
75045,Leonard High School,1
76058,Leonard High School,1
77437,Leonard High School,1
78995,Leonard High School,1
82913,Leonard High School,1
83922,Leonard High School,1
84727,Leonard High School,1
84978,Leonard High School,1
85581,Leonard High School,1
86353,Leonard High School,1
86390,Leonard High School,0
88270,Leonard High School,1
89423,Leonard High School,0
93891,Leonard High School,1
94661,Leonard High School,1
95051,Leonard High School,1
95565,Leonard High School,0
97191,Leonard High School,0
97627,Leonard High School,1
98570,Leonard High School,1
99981,Leonard High School,1
52434,Leonard High School,1
82491,Leonard High School,1
84357,Leonard High School,1
11496,Marrero High School,1
11758,Marrero High School,1
11902,Marrero High School,1
14150,Marrero High School,0
14276,Marrero High School,1
14763,Marrero High School,0
15752,Marrero High School,0
16547,Marrero High School,1
16670,Marrero High School,1
18397,Marrero High School,1
23806,Marrero High School,1
24746,Marrero High School,0
25100,Marrero High School,1
25322,Marrero High School,1
29953,Marrero High School,1
31810,Marrero High School,1
32302,Marrero High School,1
33117,Marrero High School,1
33453,Marrero High School,1
34693,Marrero High School,1
39914,Marrero High School,1
40634,Marrero High School,1
40831,Marrero High School,1
41320,Marrero High School,1
42822,Marrero High School,1
44322,Marrero High School,1
44978,Marrero High School,1
49759,Marrero High School,0
51075,Marrero High School,1
51325,Marrero High School,0
51611,Marrero High School,1
53903,Marrero High School,1
54202,Marrero High School,1
55809,Marrero High School,1
57042,Marrero High School,0
58172,Marrero High School,1
65203,Marrero High School,1
69795,Marrero High School,0
70393,Marrero High School,1
72166,Marrero High School,1
75555,Marrero High School,1
76416,Marrero High School,1
76422,Marrero High School,1
86082,Marrero High School,1
89494,Marrero High School,0
93835,Marrero High School,1
94847,Marrero High School,1
99904,Marrero High School,1
71191,Marrero High School,1
48769,Marrero High School,1
86508,Marrero High School,1
10017,McKoy High School,1
10045,McKoy High School,1
10363,McKoy High School,1
10412,McKoy High School,1
10673,McKoy High School,0
11136,McKoy High School,1
11402,McKoy High School,1
11720,McKoy High School,1
12309,McKoy High School,0
12328,McKoy High School,1
12760,McKoy High School,1
13142,McKoy High School,1
13986,McKoy High School,1
14631,McKoy High School,1
15041,McKoy High School,1
15185,McKoy High School,1
